alpha,beta,z ratio,smooth ratio
1798359.5801290858,209690.8803992145,-0.4843761151241493,0.3792316178396863
1798359.5801290858,209690.8803992145,-0.4843761151241493,0.37919905317761393
1744526.4948298978,204571.6385830645,-0.4941597538493432,0.3789251540136189
1707226.202173882,200720.90092745007,-0.49864101419096796,0.3785666132574828
1648143.2630678401,195028.99700365012,-0.5096696036447989,0.3779682118406146
1584079.081645485,188780.5493383675,-0.5216926134493718,0.3771290753203188
1584079.081645485,188780.5493383675,-0.5216926134493718,0.3763738524520526
1518702.9138774998,182266.3639014323,-0.5335424290100735,0.37539790648159554
1473476.0867846173,177858.8411264669,-0.5431778576086292,0.3742786693932203
1402734.8294937941,171078.48493052286,-0.5603439396847337,0.3728422039617799
1402734.8294937941,171078.48493052286,-0.5603439396847337,0.3715493850734836
1332874.9184662276,164246.90438883816,-0.577335572559875,0.3699610572521384
1259913.1830481132,157038.6758699866,-0.5959044635473055,0.3680673399382419
1211653.1024090191,152495.63095132023,-0.611517111125792,0.36597267816627294
1139884.9035132877,145317.33808551528,-0.6319536504067765,0.3635765690894762
1139884.9035132877,145317.33808551528,-0.6319536504067765,0.3614200709203592
1068056.3129801105,138536.10034414963,-0.6590690438274636,0.3588013377326367
996847.2626972703,131398.12189870188,-0.6838872569710568,0.35582402253509665
951598.0858303742,127104.8678179331,-0.7039938144976134,0.35264177491914667
951598.0858303742,127104.8678179331,-0.7039938144976134,0.34977775206479167
882720.1054063656,120250.75679716299,-0.7334343616553819,0.346464117816928
817326.5676300229,114060.00274349372,-0.7686896770016562,0.3426004641101938
817326.5676300229,114060.00274349372,-0.7686896770016562,0.33912317577413303
754796.9459515724,107696.35689110417,-0.8003756641793571,0.3352014665922358
713944.9217234635,103921.40072910568,-0.8282970364765265,0.33097389402109906
655828.1873783162,98008.7362846367,-0.8642815244394954,0.3262694665080018
601772.1663595291,92774.83883047482,-0.9056350850821093,0.3210016427301489
601772.1663595291,92774.83883047482,-0.9056350850821093,0.3162606013300813
518401.29449259315,84559.98292221177,-0.9773539514966226,0.31020069240965764
518401.29449259315,84559.98292221177,-0.9773539514966226,0.30474677438127634
474178.1003112985,79971.02663378864,-1.017910445330001,0.29882433580989864
474178.1003112985,79971.02663378864,-1.017910445330001,0.29349414109565874
432415.4621960995,75882.23021599822,-1.064446585990454,0.28753356233633154
396420.74914698204,72203.0646007327,-1.1064034916869752,0.281120118810524
373717.5822851305,69857.37047558697,-1.134751776096847,0.2746393125270504
342928.3686419424,66724.47842044111,-1.1771331522197355,0.267747052468852
342928.3686419424,66724.47842044111,-1.1771331522197355,0.2615440184164734
316443.105503154,63822.08063194067,-1.2136703735925158,0.25504785723501316
293421.6588384093,61517.88073471862,-1.2516687404503752,0.24825135300025247
